Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
190190	 0.00001	 0.00020	 0.00001	 0.00003	 0.01763	 0.00000	 0.00000	 0.00000		215.458571	-2529.505083
191191	 0.00002	 0.00007	 0.00001	 0.00007	 0.01711	 0.00000	 0.00000	 0.00000		206.088411	-2537.380240
192192	 0.00002	 0.00005	 0.00001	 0.00018	 0.01738	 0.00000	 0.00000	 0.00000		204.092806	-2586.141090
193193	 0.00002	 0.00006	 0.00001	 0.00013	 0.01702	 0.00000	 0.00000	 0.00000		207.565761	-2602.017402
194194	 0.00002	 0.00006	 0.00001	 0.00010	 0.01580	 0.00000	 0.00000	 0.00000		212.675986	-2641.319860
195195	 0.00001	 0.00009	 0.00002	 0.00012	 0.01531	 0.00000	 0.00000	 0.00000		208.313259	-2564.257843
196196	 0.00008	 0.00031	 0.00005	 0.00025	 0.01653	 0.00001	 0.00002	 0.00000		194.072027	-2567.133818
197197	 0.00007	 0.00018	 0.00004	 0.00038	 0.01503	 0.00001	 0.00002	 0.00000		192.719695	-2624.404169
198198	 0.00011	 0.00033	 0.00007	 0.00046	 0.01522	 0.00001	 0.00002	 0.00000		188.130745	-2592.935959
199199	 0.00007	 0.00013	 0.00005	 0.00030	 0.01559	 0.00001	 0.00002	 0.00000		195.777017	-2572.955693
200200	 0.00008	 0.00017	 0.00003	 0.00017	 0.01695	 0.00001	 0.00001	 0.00000		196.005537	-2482.219979
201201	 0.00008	 0.00017	 0.00003	 0.00009	 0.01434	 0.00001	 0.00001	 0.00000		195.803871	-2633.645821
202202	 0.00009	 0.00014	 0.00003	 0.00014	 0.01555	 0.00001	 0.00001	 0.00000		196.362400	-2616.232330
203203	 0.00006	 0.00019	 0.00002	 0.00013	 0.01557	 0.00000	 0.00001	 0.00000		192.092665	-2645.996727
204204	 0.00010	 0.00018	 0.00005	 0.00020	 0.01620	 0.00001	 0.00001	 0.00000		190.267296	-2568.995166
205205	 0.00007	 0.00021	 0.00004	 0.00028	 0.01524	 0.00001	 0.00001	 0.00000		190.477073	-2597.957997
206206	 0.00011	 0.00024	 0.00005	 0.00015	 0.01686	 0.00001	 0.00001	 0.00000		191.391472	-2614.625004
207207	 0.00005	 0.00008	 0.00003	 0.00017	 0.01449	 0.00000	 0.00001	 0.00000		206.015067	-2573.126930
208208	 0.00002	 0.00005	 0.00001	 0.00015	 0.01644	 0.00000	 0.00001	 0.00000		215.007658	-2613.275354
209209	 0.00002	 0.00006	 0.00002	 0.00014	 0.01512	 0.00000	 0.00001	 0.00000		210.993318	-2603.728978
210210	 0.00007	 0.00019	 0.00003	 0.00025	 0.01665	 0.00001	 0.00001	 0.00000		191.197673	-2664.771134
211211	 0.00007	 0.00013	 0.00002	 0.00022	 0.01616	 0.00001	 0.00001	 0.00000		195.543147	-2552.617729
212212	 0.00005	 0.00012	 0.00003	 0.00011	 0.01469	 0.00000	 0.00001	 0.00000		205.579648	-2601.763616
213213	 0.00004	 0.00012	 0.00003	 0.00013	 0.01712	 0.00000	 0.00001	 0.00000		205.587500	-2476.840004
214214	 0.00003	 0.00014	 0.00002	 0.00032	 0.01609	 0.00000	 0.00001	 0.00000		194.375368	-2599.778155
215215	 0.00002	 0.00007	 0.00001	 0.00010	 0.01627	 0.00000	 0.00000	 0.00000		207.800427	-2626.184444
