Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
170170	 0.00008	 0.00010	 0.00004	 0.00008	 0.01257	 0.00001	 0.00001		218.227166	-2122.706344
171171	 0.00005	 0.00009	 0.00003	 0.00015	 0.01440	 0.00001	 0.00001		217.954394	-2100.202506
172172	 0.00003	 0.00003	 0.00002	 0.00010	 0.01468	 0.00000	 0.00001		226.312392	-2180.025428
173173	 0.00002	 0.00004	 0.00002	 0.00010	 0.01182	 0.00000	 0.00001		228.766527	-2219.887324
174174	 0.00002	 0.00003	 0.00002	 0.00008	 0.01411	 0.00000	 0.00001		231.111642	-2046.897133
175175	 0.00005	 0.00006	 0.00004	 0.00017	 0.01276	 0.00000	 0.00001		212.065803	-2285.555511
176176	 0.00006	 0.00008	 0.00008	 0.00035	 0.01474	 0.00001	 0.00003		205.958227	-2144.287507
177177	 0.00006	 0.00004	 0.00004	 0.00019	 0.01358	 0.00000	 0.00001		215.328371	-2149.399557
178178	 0.00002	 0.00005	 0.00002	 0.00011	 0.01470	 0.00000	 0.00001		221.101979	-2145.090190
179179	 0.00002	 0.00003	 0.00002	 0.00006	 0.01397	 0.00000	 0.00000		231.791445	-2058.931818
180180	 0.00001	 0.00002	 0.00002	 0.00030	 0.01305	 0.00000	 0.00001		225.543640	-2109.137951
181181	 0.00009	 0.00013	 0.00008	 0.00042	 0.01320	 0.00001	 0.00003		198.646153	-2180.839798
182182	 0.00006	 0.00006	 0.00003	 0.00022	 0.01352	 0.00001	 0.00001		213.393046	-2169.028158
183183	 0.00007	 0.00010	 0.00004	 0.00010	 0.01432	 0.00001	 0.00001		215.096085	-2052.971737
184184	 0.00004	 0.00006	 0.00003	 0.00013	 0.01539	 0.00000	 0.00001		218.447426	-2162.626707
185185	 0.00003	 0.00005	 0.00002	 0.00008	 0.01300	 0.00000	 0.00001		224.881381	-2099.444302
186186	 0.00001	 0.00001	 0.00001	 0.00006	 0.01198	 0.00000	 0.00000		241.780519	-2224.817828
187187	 0.00002	 0.00002	 0.00001	 0.00008	 0.01413	 0.00000	 0.00000		233.622879	-2147.532783
188188	 0.00001	 0.00003	 0.00001	 0.00008	 0.01328	 0.00000	 0.00000		230.872100	-2157.930546
189189	 0.00002	 0.00002	 0.00002	 0.00009	 0.01430	 0.00000	 0.00001		227.494383	-2127.321366
190190	 0.00003	 0.00006	 0.00002	 0.00013	 0.01356	 0.00000	 0.00001		215.164754	-2174.606298
191191	 0.00003	 0.00007	 0.00001	 0.00005	 0.01456	 0.00000	 0.00001		227.233106	-2176.825956
192192	 0.00004	 0.00005	 0.00002	 0.00017	 0.01317	 0.00000	 0.00001		214.848777	-2136.105034
193193	 0.00005	 0.00003	 0.00002	 0.00009	 0.01362	 0.00000	 0.00001		222.857172	-2159.704542
194194	 0.00009	 0.00013	 0.00003	 0.00015	 0.01409	 0.00001	 0.00001		203.583015	-2165.354212
195195	 0.00005	 0.00007	 0.00002	 0.00005	 0.01412	 0.00000	 0.00001		216.710623	-2140.646718
196196	 0.00010	 0.00015	 0.00005	 0.00014	 0.01358	 0.00001	 0.00002		205.738809	-2153.420501
197197	 0.00005	 0.00009	 0.00003	 0.00020	 0.01433	 0.00001	 0.00001		205.358558	-2195.141856
198198	 0.00004	 0.00006	 0.00002	 0.00007	 0.01383	 0.00000	 0.00001		226.963894	-2146.855237
199199	 0.00007	 0.00009	 0.00004	 0.00006	 0.01568	 0.00001	 0.00001		216.115525	-2045.257926
200200	 0.00006	 0.00009	 0.00004	 0.00026	 0.01416	 0.00001	 0.00001		205.176056	-2180.225422
201201	 0.00004	 0.00007	 0.00004	 0.00027	 0.01272	 0.00001	 0.00001		213.553045	-2202.831382
202202	 0.00010	 0.00009	 0.00006	 0.00025	 0.01362	 0.00001	 0.00002		206.008806	-2073.032887
203203	 0.00005	 0.00006	 0.00007	 0.00028	 0.01266	 0.00001	 0.00002		214.358421	-2120.960728
204204	 0.00005	 0.00005	 0.00003	 0.00011	 0.01366	 0.00000	 0.00001		223.447701	-2117.299564
205205	 0.00017	 0.00024	 0.00008	 0.00016	 0.01279	 0.00002	 0.00003		201.277103	-2202.960047
206206	 0.00013	 0.00015	 0.00005	 0.00007	 0.01250	 0.00001	 0.00002		213.800106	-2144.615603
207207	 0.00010	 0.00022	 0.00006	 0.00010	 0.01339	 0.00001	 0.00002		196.954026	-2139.733928
208208	 0.00007	 0.00012	 0.00004	 0.00015	 0.01248	 0.00001	 0.00001		210.723128	-2175.905721
209209	 0.00004	 0.00010	 0.00003	 0.00014	 0.01278	 0.00001	 0.00001		215.093778	-2214.639387
210210	 0.00003	 0.00010	 0.00003	 0.00024	 0.01266	 0.00000	 0.00001		207.777800	-2183.769082
211211	 0.00004	 0.00007	 0.00006	 0.00033	 0.01225	 0.00001	 0.00003		215.397665	-2116.518374
212212	 0.00005	 0.00006	 0.00008	 0.00027	 0.01338	 0.00001	 0.00003		216.217384	-2068.001490
213213	 0.00005	 0.00006	 0.00004	 0.00021	 0.01351	 0.00001	 0.00001		215.867352	-2110.029015
214214	 0.00010	 0.00019	 0.00005	 0.00009	 0.01272	 0.00001	 0.00002		208.471510	-2176.287948
215215	 0.00008	 0.00008	 0.00004	 0.00012	 0.01417	 0.00001	 0.00001		220.201542	-2103.830439
216216	 0.00004	 0.00013	 0.00003	 0.00017	 0.01480	 0.00001	 0.00001		208.913012	-2136.026346
217217	 0.00003	 0.00008	 0.00002	 0.00007	 0.01406	 0.00000	 0.00001		221.618637	-2087.001931
218218	 0.00019	 0.00019	 0.00008	 0.00019	 0.01260	 0.00002	 0.00003		201.274948	-2071.311437
219219	 0.00029	 0.00024	 0.00007	 0.00017	 0.01255	 0.00003	 0.00003		189.555018	-2200.407821
220220	 0.00008	 0.00012	 0.00003	 0.00009	 0.01386	 0.00001	 0.00001		204.513021	-2148.938326
221221	 0.00012	 0.00040	 0.00005	 0.00012	 0.01345	 0.00002	 0.00002		195.500472	-2138.579803
222222	 0.00011	 0.00025	 0.00005	 0.00006	 0.01264	 0.00001	 0.00002		203.339218	-2140.988589
223223	 0.00011	 0.00020	 0.00009	 0.00020	 0.01312	 0.00002	 0.00002		200.217502	-2172.474502
224224	 0.00004	 0.00009	 0.00002	 0.00002	 0.01246	 0.00000	 0.00001		226.252960	-2142.218178
225225	 0.00006	 0.00006	 0.00002	 0.00002	 0.01322	 0.00001	 0.00001		234.314407	-2072.640666
226226	 0.00002	 0.00003	 0.00001	 0.00003	 0.01279	 0.00000	 0.00000		235.467403	-2162.212832
227227	 0.00003	 0.00005	 0.00002	 0.00011	 0.01453	 0.00000	 0.00000		210.114902	-2193.094426
228228	 0.00006	 0.00012	 0.00002	 0.00008	 0.01358	 0.00001	 0.00001		210.475634	-2174.506489
229229	 0.00008	 0.00015	 0.00005	 0.00019	 0.01334	 0.00001	 0.00001		200.709063	-2132.070730
230230	 0.00004	 0.00008	 0.00002	 0.00005	 0.01342	 0.00000	 0.00001		202.998834	-2168.915447
231231	 0.00003	 0.00004	 0.00001	 0.00002	 0.01427	 0.00000	 0.00000		221.384946	-2112.798504
232232	 0.00003	 0.00006	 0.00002	 0.00004	 0.01589	 0.00000	 0.00000		218.535565	-2089.624034
233233	 0.00005	 0.00007	 0.00002	 0.00004	 0.01425	 0.00001	 0.00001		217.216688	-2099.814882
234234	 0.00007	 0.00008	 0.00002	 0.00004	 0.01169	 0.00001	 0.00001		216.264130	-2219.543240
235235	 0.00006	 0.00010	 0.00002	 0.00007	 0.01252	 0.00001	 0.00001		202.070983	-2269.898960
236236	 0.00001	 0.00002	 0.00001	 0.00004	 0.01351	 0.00000	 0.00000		234.702338	-2159.556018
237237	 0.00001	 0.00003	 0.00001	 0.00014	 0.01293	 0.00000	 0.00000		228.999111	-2142.106756
238238	 0.00002	 0.00002	 0.00001	 0.00006	 0.01461	 0.00000	 0.00000		231.492087	-2079.196370
